worldFrame	gaze_ts	confidence	world_gazeX	world_gazeY	ref_gazeX	ref_gazeY
0	92458.245	1.000	978.816	57.132	1032.000	165.000
0	92478.244	1.000	979.968	57.564	1034.000	166.000
1	92498.235	1.000	981.312	58.320	1033.000	165.000
1	92518.234	1.000	939.264	87.696	977.000	203.000
2	92538.225	1.000	877.248	119.448	893.000	242.000
2	92558.223	1.000	849.408	130.788	857.000	257.000
3	92578.215	1.000	840.192	135.864	842.000	260.000
3	92598.214	1.000	837.312	139.536	838.000	264.000
4	92618.204	1.000	835.776	140.076	833.000	263.000
4	92638.205	1.000	834.624	137.592	832.000	261.000
5	92658.195	1.000	836.160	135.864	831.000	255.000
5	92678.194	1.000	836.160	135.000	832.000	254.000
6	92698.184	1.000	836.352	134.244	830.000	250.000
6	92718.184	1.000	835.776	131.868	830.000	247.000
7	92738.175	1.000	836.736	132.732	830.000	245.000
7	92758.174	1.000	838.272	133.380	832.000	246.000
8	92778.164	1.000	840.384	134.460	837.000	248.000
8	92798.164	1.000	840.768	133.920	837.000	247.000
9	92818.155	1.000	841.536	134.676	839.000	248.000
9	92838.154	1.000	842.112	135.540	840.000	249.000
10	92858.144	1.000	842.688	136.080	841.000	249.000
10	92878.144	1.000	843.648	135.540	842.000	249.000
11	92898.134	1.000	843.840	135.108	844.000	247.000
11	92918.135	1.000	844.416	135.972	845.000	248.000
15	93058.095	1.000	847.872	139.536	863.000	244.000
15	93078.093	1.000	847.872	141.912	863.000	247.000
16	93098.085	1.000	848.640	142.992	867.000	245.000
16	93118.084	1.000	849.024	145.152	867.000	248.000
17	93138.075	1.000	850.752	143.964	873.000	242.000
17	93158.075	1.000	851.712	143.424	874.000	242.000
18	93178.064	1.000	855.168	140.400	882.000	234.000
18	93198.064	1.000	854.208	141.048	881.000	234.000
19	93218.054	1.000	852.864	139.320	882.000	231.000
19	93238.054	1.000	854.976	116.748	886.000	204.000
20	93258.044	1.000	857.472	105.084	893.000	189.000
20	93278.045	1.000	859.392	93.312	896.000	175.000
21	93298.034	1.000	855.744	90.936	894.000	169.000
21	93318.034	1.000	854.016	86.400	892.000	164.000
22	93338.025	1.000	854.784	83.160	897.000	158.000
22	93358.024	1.000	854.976	80.568	898.000	155.000
23	93378.015	1.000	850.944	74.412	897.000	147.000
23	93398.016	1.000	849.024	68.580	895.000	140.000
24	93418.004	1.000	851.904	65.016	902.000	133.000
24	93438.004	1.000	853.248	63.288	904.000	131.000
25	93457.993	1.000	850.752	64.476	904.000	129.000
25	93477.994	1.000	847.296	65.448	900.000	130.000
26	93497.985	1.000	845.952	66.528	901.000	131.000
26	93517.984	1.000	843.264	68.148	898.000	133.000
27	93537.975	1.000	841.536	67.932	897.000	130.000
27	93557.974	1.000	840.000	65.232	896.000	127.000
28	93577.965	1.000	839.808	66.096	898.000	127.000
28	93597.964	1.000	840.960	65.448	900.000	126.000
29	93617.954	1.000	838.656	66.528	900.000	125.000
29	93637.955	1.000	836.544	69.228	898.000	129.000
30	93657.944	1.000	838.464	69.984	904.000	127.000
30	93677.944	1.000	839.808	71.928	905.000	129.000
31	93697.934	1.000	839.232	77.868	907.000	136.000
31	93717.934	1.000	841.152	83.700	909.000	143.000
32	93737.924	1.000	842.304	88.884	913.000	147.000
32	93757.924	1.000	842.688	94.176	914.000	153.000
33	93777.915	1.000	842.496	98.928	916.000	154.000
33	93797.914	1.000	838.464	106.272	911.000	163.000
34	93817.904	1.000	839.040	106.596	915.000	162.000
34	93837.904	1.000	837.888	113.724	913.000	171.000
35	93857.894	1.000	878.976	118.692	970.000	172.000
35	93877.894	1.000	957.120	147.528	1074.000	205.000
36	93897.885	1.000	984.960	153.684	1115.000	212.000
36	93917.884	1.000	993.408	156.168	1126.000	215.000
37	93937.874	1.000	993.024	156.060	1128.000	214.000
37	93957.873	1.000	989.184	159.516	1123.000	219.000
38	93977.864	1.000	984.192	157.896	1118.000	216.000
38	93997.864	1.000	981.888	157.464	1114.000	215.000
39	94017.855	1.000	979.584	157.140	1111.000	219.000
39	94037.854	1.000	977.280	156.168	1108.000	217.000
40	94057.844	1.000	975.552	155.844	1104.000	221.000
40	94077.844	1.000	973.632	155.520	1102.000	221.000
41	94097.834	1.000	971.520	155.628	1098.000	224.000
41	94117.834	1.000	969.408	155.412	1095.000	224.000
42	94137.824	1.000	967.296	154.872	1091.000	226.000
42	94157.824	1.000	965.952	154.116	1089.000	225.000
43	94177.814	1.000	964.608	152.604	1084.000	226.000
43	94197.814	1.000	964.032	155.412	1083.000	230.000
44	94217.805	1.000	962.304	157.572	1078.000	234.000
44	94237.804	1.000	961.152	157.788	1077.000	235.000
45	94257.794	1.000	960.960	158.004	1076.000	237.000
45	94277.794	1.000	960.768	157.788	1076.000	237.000
46	94297.784	1.000	960.768	158.760	1077.000	237.000
46	94317.785	1.000	959.232	163.080	1075.000	243.000
47	94337.775	1.000	957.312	165.348	1074.000	246.000
47	94357.774	1.000	955.584	166.968	1071.000	248.000
48	94377.764	1.000	953.472	169.128	1070.000	248.000
48	94397.764	1.000	949.056	168.048	1064.000	247.000
49	94417.755	1.000	947.136	167.184	1062.000	251.000
49	94437.754	1.000	945.600	168.048	1060.000	252.000
